Nom;Trigramme;Segment(s) DRG;Position géographique;Code commune;Code(s) UIC
Fegersheim - Lipsheim;FHM;C;48.4905892, 7.6724806;67268;87212266
Fellering;FRG;C;47.8975893, 6.9871347;68089;87182626
Felletin;FEL;C;45.8864021, 2.169543;23079;87597849
Fépin;FEP;C;50.0234644, 4.7266156;8166;87172874
Ferrières - Fontenay;FFY;C;48.0964767, 2.7726332;45148;87684241
Feuquières - Broquiers;FBS;C;49.6545751, 1.8305169;60233;87313742
Feurs;FEU;B;45.744156, 4.230573;42094;87726877
Feyzin;FEY;C;45.6658584, 4.8531349;69276;87722538
Figeac;FIG;B;44.603515, 2.037355;46102;87613091
Firminy;FNY;B;45.391625, 4.28643;42095;87726729
Fismes;FIO;B;49.310665, 3.68213;51250;87171330
Flavy-le-Martel;FAM;C;49.7187375, 3.1905076;2315;87296871
Flaxlanden;FXL;C;47.6986924, 7.3044703;68384;87181040
Flers;FLS;C;48.744785, -0.573216;61169;87448001
Fleurieux-sur-l'Arbresle;FSL;C;45.8449944, 4.6603815;69086;87721563
Fleurville - Pont-de-Vaux;FLV;C;46.4509279, 4.8840722;71591;87725663
Flez-Cuzy - Tannay;FEZ;C;47.3630583, 3.6149926;58286;87696633
Foëcy;FCY;C;47.1756905, 2.1625062;18096;87576108
Foix;FXE;B;42.969746, 1.607147;9122;87611616
Folligny;FOL;C;48.8299461, -1.4072231;50188;87447649
Fons - Saint-Mamert;FMS;C;43.9073195, 4.2066687;30112;87775379
Font-Romeu-Odeillo-Via;FRM;C;42.4912317, 2.0383917;66124;87784819
Fontaine-le-Port;FPO;C;48.4871358, 2.7514043;77188;87682427
Fontainebleau - Avon;FON;B;48.416371, 2.72634;77014;87682211
Fontaines - Mercurey;FAE;C;46.8512109, 4.7750693;71202;87713586
Fontenay-le-Fleury;FAF;B;48.8074032, 2.0404603;78242;87393405
Fontenoy-sur-Moselle;FBE;C;48.711721, 5.9803654;54202;87141051
Fontpédrouse;FTB;C;42.5138062, 2.1886585;66080;87784769
Forbach;FOB;B;49.1892278, 6.9013184;57227;87193003
Formerie;FMR;C;49.6542178, 1.7229081;60245;87313833
Fors;FOW;C;46.2345203, -0.4069449;79125;87485326
Fos-sur-Mer;FOS;C;43.428029, 4.974579;13077;87753442
Foucart - Alvimare;FTA;C;49.608289, 0.5969601;76279;87413377
Fouday;FDY;C;48.4248874, 7.1874246;67144;87214734
Foug;FUG;C;48.6792561, 5.7912761;54205;87141036
Fougeray - Langon;FGL;C;47.7297956, -1.8510921;35145;87471201
Fougeré;FUE;C;46.6653044, -1.2319718;49143;87486316
Fouilloy;FIY;C;49.7366368, 1.8260404;60248;87313841
Fouquereuil;FQE;C;50.5255091, 2.6074449;62349;87342204
Fourchambault;FLT;C;47.0189684, 3.0873673;58117;87696229
Fourmies;FMI;B;50.01541, 4.05357;59249;87295048
Fraisses - Unieux;FRU;C;45.3948228, 4.2610375;42099;87726737
Franchet d'Esperey;FRP;C;49.2425356, 4.013869;51454;87417444
Francheville;FRW;C;45.7336473, 4.7693729;69089;87722702
Franconville - Le Plessis-Bouchard;FPB;B;48.99358, 2.23514;95252;87276071
Franois;FOI;C;47.2273609, 5.937498;25258;87718304
Frasne;FRA;B;46.857596, 6.157767;25259;87715136
Freinville Sevran;FSV;B;48.926637, 2.519019;93071;87113894
Fréjus;FRJ;B;43.432032, 6.732941;83061;87757500
Frénouville - Cagny;FVL;C;49.1411192, -0.2603256;14287;87444182
Frépillon;FPN;B;49.0462, 2.19717;95256;87276659
Fresnoy-le-Grand;FEG;C;49.9501964, 3.43268;2334;87296293
Fréteval - Morée;FRE;C;47.8919172, 1.211813;41095;87574533
Fretin;FRI;C;50.5599254, 3.1495133;59256;87286641
Frévin-Capelle;FVK;C;50.3473177, 2.6338262;62363;87342212
Fromental;FRO;C;46.1715646, 1.4324317;87068;87592360
Froncles Buxières;FCB;C;48.29674, 5.14156;52211;87142240
Frontenex;TFF;C;45.6305461, 6.3140556;73121;87741629
Frontignan;FRN;B;43.444934, 3.758689;34108;87773556
Frouard;FRD;C;48.75545, 6.14411;54215;87141077
Frynaudour;FYD;C;48.7275919, -3.1284527;22233;87473876
Fumay;FUY;C;49.986048, 4.6926;8185;87172098
Futuroscope;FTU;C;46.669918, 0.377209;86062;87324095
Gadagne;GDA;C;43.9296817, 4.9568087;84036;87765446
Gagny;GNQ;B;48.883125, 2.527106;93032;87113514
Gaillac;GAI;B;43.905969, 1.894855;81099;87615252
Gaillon - Aubevoye;GAA;B;49.174626, 1.352461;27022;87415620
Gallargues-le-Montueux;GGE;C;43.716229, 4.1715027;30123;87775130
Gallieni Cancéropôle;OGI;C;43.5730877, 1.4195801;31555;87497461
Galuzot;GLZ;C;46.6421069, 4.3300578;71486;87694638
Gambsheim;GHM;B;48.6948699, 7.8791884;67151;87212332
Gan;GNJ;C;43.2335932, -0.391462;64230;87672618
Gandrange - Amnéville;GDG;C;49.2608222, 6.1358897;57019;87191742
Gannat;GAN;C;46.0975964, 3.2047514;3118;87732404
Gannes;GNS;C;49.5723315, 2.4370074;60268;87313262
Gap;GAP;B;44.563693, 6.085638;5061;87763003
Garancières - La Queue;GAQ;B;48.8106338, 1.7647546;78265;87393439
Garches - Marnes-la-Coquette;GMC;B;48.83839, 2.18692;92064;87382259
Garchizy;GZY;C;47.0429987, 3.0858769;58121;87691436
Gardanne;GDN;B;43.455992, 5.463332;13041;87751420
Gardonne;GAO;C;44.8347538, 0.3319427;24194;87584235
Gargan;GAF;B;48.908159, 2.517109;93057;87113860
Gargenville;GGV;B;48.98318, 1.8089;78267;87381566
Garges - Sarcelles;GAJ;B;48.97663, 2.39078;95268;87276196
Gauriaguet;GGT;C;45.0542936, -0.3992689;33183;87491225
Gazeran;GZA;B;48.6259183, 1.7718857;78269;87393348
Gazinet Cestas;GAZ;B;44.772218, -0.69949;33122;87582403
Geispolsheim;GPM;C;48.5190515, 7.6843578;67152;87212258
Gemeaux;GMX;C;47.478542, 5.1293074;21290;87713842
Génelard;GEL;C;46.5812177, 4.2379965;71212;87694653
Générac;GEC;C;43.7324379, 4.3434742;30128;87775791
Genlis;GLS;B;47.244579, 5.223406;21292;87713313
Gennevilliers;GEN;B;48.93368, 2.30699;92036;87271205
Génolhac;GNC;C;44.3471626, 3.9516407;30130;87775213
Germaine;GEA;C;49.1277634, 4.0228976;51266;87171587
Gertwiller;GWL;C;48.4133621, 7.4663166;67155;87214254
Gerzat;GEZ;C;45.8335879, 3.1431045;63164;87734046
Gestel;GES;C;47.8029905, -3.4431341;56063;87476309
Gevrey-Chambertin;GCT;C;47.2274694, 4.999058;21295;87713503
Gien;GIE;C;47.699088, 2.636205;45155;87684290
Gièvres;GSN;C;47.2787925, 1.6678267;41097;87576876
Gignac - Cressensac;GCC;C;45.0146074, 1.4831648;46118;87594325
Gilley;GIL;C;47.0500626, 6.4925676;25271;87718577
Gilly-sur-Loire;GSL;C;46.5370137, 3.7821607;71220;87694869
Gimont Cahuzac;GAH;C;43.6330525, 0.8676246;32147;87611772
Gironde-sur-Dropt;GID;C;44.583292, -0.0920127;33187;87582858
Gisors;GIS;B;49.28512, 1.78455;27284;87381244
Givet;GVT;C;50.14025067, 4.81798595;8190;87172130
Givors;GIV;B;45.584948, 4.766086;69091;87722405
Givors Canal;GIC;C;45.5957662, 4.7725754;69091;87722439
Golfe Juan Vallauris;GLF;B;43.566501, 7.073578;6155;87757641
Goncelin;GOC;B;45.341941, 5.974136;38181;87747477
Gonfaron;GFR;C;43.3171516, 6.2817644;83067;87755397
Gorges;GOE;C;47.1001487, -1.3058778;44064;87481432
Gourdon;GOV;C;44.7419445, 1.389237;46127;87613141
Gourland;GUL;C;48.5609981, -3.1668191;22067;87473801
Gournay - Ferrières;GOF;C;49.4813674, 1.7380891;76260;87381293
Goussainville;GOU;B;49.0240732, 2.4632464;95280;87276246
Goxwiller;GXW;C;48.4327551, 7.4787296;67164;87214270
Graffenstaden;GRF;C;48.5324375, 7.6897861;67152;87212241
Graffenwald;GFW;C;47.7808232, 7.2247908;68375;87181131
Gragnague;GAG;C;43.696179, 1.567731;31228;87615377
Gramat;GRT;C;44.7734284, 1.7223028;46128;87613059
Grand Bourg;GBG;B;48.648004, 2.435939;91521;87681353
Grande-Synthe;GSV;C;51.0026884, 2.3133547;59271;87281311
Grandvillars;GND;C;47.53763, 6.9785;90053;87184432
Grandvilliers;GAR;C;49.6593779, 1.9384836;60286;87313734
Granville;GRV;B;48.838456, -1.587757;50218;87447680
Grasse;GRA;B;43.653317, 6.925524;6069;87757724
Gravelines;GVL;C;50.978736, 2.1232852;59273;87281246
Gravigny Balizy;GBI;B;48.6851718, 2.317846;91345;87393645
Grenoble;GRE;A;45.191493, 5.714584;38185;87747006
Grenoble Universités - Gières;GRS;B;45.184877, 5.78474;38179;87747402
Gresswiller;GEI;B;48.53334, 7.42468;67168;87214593
Grésy-sur-Aix;GAX;C;45.7245161, 5.9221751;73128;87746107
Grésy-sur-Isère;TGG;C;45.594432, 6.2588584;73129;87741611
Gretz-Armainvilliers;GZT;B;48.74544, 2.728824;77215;87116012
Grigny Centre;GGG;B;48.65343, 2.395797;91286;87681379
Grigny le Sablon;LSB;C;45.6072601, 4.796144;69096;87722298
Grisolles;GRI;C;43.8269619, 1.3023292;82075;87611673
Groisy - Thorens-Glières;GTC;C;46.0111205, 6.17568;74137;87746248
Gros Noyer Saint-Prix;GNE;B;48.99682, 2.2588;95219;87276592
Groslay;GNX;B;48.98462, 2.35358;95288;87276360
Guérard - La Celle-sur-Morin;GCM;C;48.810588, 2.954783;77219;87116269
Guéret;GTJ;C;46.1741863, 1.8793855;23096;87597609
Guéthary;GTH;C;43.4253491, -1.6098615;64249;87673459
Guichen - Bourg-des-Comptes;GBC;B;47.9350963, -1.7601845;35126;87471151
Guignicourt;GUI;B;49.434862, 3.961334;2360;87171736
Guillerval;GUE;C;48.3744455, 2.0598748;91294;87545129
Guimiliau;GMU;C;48.4852675, -3.9996163;29074;87474296
Guingamp;GGP;B;48.555659, -3.143343;22070;87473207
Gujan-Mestras;GUJ;B;44.640454, -1.06906;33199;87582619
Gundershoffen;GUF;C;48.905261, 7.6535345;67176;87213223
Gunsbach - Griesbach;GSB;C;48.0414908, 7.1748407;68109;87182386
Habsheim;HAB;B;47.737691, 7.417979;68118;87182089
Hachette;HAC;C;50.1582852, 3.7434526;59353;87297523
Hagondange;HGD;B;49.25356, 6.16448;57283;87191114
Haguenau;HAG;B;48.8134498, 7.7827255;67180;87213058
Halsou - Larressore;HLS;C;43.3781301, -1.4279003;64255;87673640
Haluchère Batignolles;HAD;C;47.249142, -1.5224436;44109;87590331
Ham;HAM;B;49.73985, 3.07052;80579;87313494
Ham-en-Artois;HMA;C;50.5900401, 2.4657764;62407;87342261
Hangest-sur-Somme;HAS;C;49.9822011, 2.0661412;80416;87313114
Harfleur;HAF;C;49.5136336, 0.1989828;76341;87413302
Hargicourt - Pierrepont;HGI;C;49.7138593, 2.5317673;80419;87313338
Hatrize;HZE;C;49.1934741, 5.9071141;54253;87192724
Haubourdin;HAU;C;50.6070495, 2.990153;59286;87286096
Haussmann Saint-Lazare;HSL;B;48.87478, 2.32862;75109;87281899
Haute Picardie TGV;HPI;A;49.859182, 2.8319;80002;87313882
Hautmont;HAT;C;50.25398, 3.91522;59291;87295568
Hayange;HAY;C;49.33053, 6.07245;57306;87191239
Haybes;HYM;C;50.0116888, 4.7045378;8222;87172106
Hazebrouck;HZK;B;50.72501, 2.54129;59295;87286302
Heiligenberg - Mollkirch;HEG;C;48.5273135, 7.381426;67299;87214627
Heilles - Mouchy;HEC;C;49.340531, 2.2725858;60307;87316398
Heilly;HLY;C;49.9435191, 2.5396593;80426;87316059
Hellemmes;HEL;C;50.6226402, 3.1149328;59350;87286062
Hendaye;HED;B;43.353132, -1.781724;64260;87677005
Hénin-Beaumont;HBE;B;50.41706, 2.95211;62427;87345157
Hennebont;HEN;C;47.7990019, -3.2857467;56083;87476259
Herblay;HRY;B;48.99042, 2.16208;95306;87381889
Herchies;HEE;C;49.4879546, 2.0109273;60310;87313692
Héricourt;HCT;B;47.5729701, 6.7691977;70285;87184507
Héricy;HER;C;48.4424848, 2.7605339;77226;87682435
Hermes - Berthecourt;HRB;C;49.3544055, 2.2416554;60065;87313585
Herny;HYI;C;49.0036084, 6.4769285;57319;87193383
Herrlisheim;HRL;B;48.7279056, 7.9102594;67194;87212340
Herrlisheim-près-Colmar;HRH;C;48.0166417, 7.3206381;68134;87182329
Hesdigneul-lès-Boulogne;HES;C;50.6609475, 1.6669967;62446;87317107
Hesdin;HSD;C;50.378286, 2.0351881;62447;87317222
Hettange-Grande;HET;B;49.4076754, 6.1566738;57323;87191163
Hirson;HIQ;C;49.91455, 4.08432;2381;87295063
Hirson Écoles;HSO;C;49.9288321, 4.0861491;2381;87324335
Hochfelden;HCH;B;48.7554199, 7.572355;67202;87212167
Hoelschloch;HHH;C;48.9163252, 7.8314949;67487;87213413
Hoenheim Tram;HMT;C;48.6285976, 7.7581387;67204;87338517
Hoerdt;HOD;B;48.7029518, 7.7794059;67205;87213686
Hoffen;HFN;C;48.9312475, 7.933587;67206;87213447
Hombourg-Haut;HOH;C;49.1261085, 6.7742703;57332;87193276
Homécourt;HOM;C;49.2182988, 5.9991714;54263;87191692
Houdan;HOA;B;48.7958005, 1.6027371;78310;87393462
Houdemont;HDT;C;48.645478, 6.1797255;54265;87141473
Houilles - Carrières-sur-Seine;HAR;B;48.9199636, 2.1850828;78311;87386409
Houlgate;HOE;C;49.3000711, -0.0772276;14338;87444406
Hundling;HDC;C;49.1066949, 6.9775394;57340;87193540
Huriel;HIL;C;46.3714332, 2.4762569;3128;87641217
Hyères;HYE;B;43.108867, 6.124223;83069;87755629
Igney;IYA;C;48.2709639, 6.3995463;88247;87144089
Igney - Avricourt;IAZ;C;48.6467012, 6.8053062;54035;87215103
Igny;IGY;B;48.7399008, 2.2313626;91312;87393561
Ille-sur-Têt;ILL;C;42.6682396, 2.6242863;66088;87784561
Illfurth;IFH;C;47.6764322, 7.2685712;68152;87182204
Illiers-Combray;ILC;B;48.303937, 1.2448745;28196;87394437
Imphy;IPY;C;46.9333537, 3.2597113;58134;87696450
Ingersheim - Cité Scolaire;ISC;C;48.08883, 7.29823;68338;87303875
Ingrandes sur Vienne;IGR;C;46.8746283, 0.5691164;86111;87575134
Ingrandes-Le Fresne-sur-Loire;IGA;C;47.4056382, -0.9210198;49160;87484360
Ingwiller;IGW;B;48.8723277, 7.477155;67222;87213785
Invalides;INV;B;48.8619133, 2.3150151;75107;87393033
Irigny Yvours;IRY;C;45.69002, 4.83229;69100;87722249
Is-sur-Tille;IST;C;47.520454, 5.129481;21383;87713859
Isbergues;BIO;B;50.61399, 2.46277;62473;87342279
Isles - Armentières - Congis;IAC;C;48.9980994, 3.0072998;77231;87116616
Issé;ISE;C;47.6268289, -1.45068;44075;87481622
Issoire;ISS;B;45.543884, 3.25398;63178;87734202
Issou - Porcheville;IPO;B;48.97931, 1.78532;78314;87381574
Issoudun;ISK;B;46.948763, 1.985834;36088;87597062
Issy Val de Seine;ISP;B;48.8295555, 2.2635936;92040;87393306
Issy-les-Moulineaux;ISY;B;48.8201001, 2.2593469;92040;87393074
Istres;ISR;C;43.5153953, 4.9804272;13047;87753418
Iteuil;ITL;C;46.4841223, 0.3168298;86113;87577403
Itxassou;ITX;C;43.324043, -1.3956111;64279;87673665
Ivry-sur-Seine;IVN;B;48.814371, 2.39099;94041;87545301
Iwuy;IWY;C;50.2255015, 3.3298634;59322;87345397
Janzé;JZE;B;47.955364, -1.497538;35136;87471334
Jarnac;JCB;C;45.6711292, -0.1777613;16153;87491472
Jarrie - Vizille;JAV;C;45.0854543, 5.7424487;38200;87747535
Jarville-la-Malgrange;JAR;C;48.6698381, 6.2024643;54274;87141010
Jaunay-Clan;JAU;C;46.682044, 0.3816535;86115;87575217
Jaux;JAX;C;49.3868029, 2.777316;60325;87272013
Javel;JVL;B;48.8462046, 2.2768401;75115;87393066
Jeumont;JTJ;C;50.29606, 4.08645;59324;87295014
Jœuf;JOF;C;49.2250083, 6.0177021;54280;87191700
Joigny;JOI;B;47.973843, 3.393082;89206;87683243
Joigny-sur-Meuse;JGY;C;49.8336807, 4.7672389;8237;87172031
Joinville;JQI;C;48.4442977, 5.143503;52250;87175091
Joncet;JCT;C;42.5615245, 2.3111464;66193;87784710
Joncherey;JYE;C;47.5262, 6.9988;90056;87700153
Jonchery-sur-Vesle;JYV;C;49.290057, 3.819422;51308;87171314
Jonzac;JOH;C;45.4387456, -0.44164;17197;87491142
Joué-lès-Tours;JLT;C;47.3541741, 0.6675586;37122;87571885
Jouy;JOY;C;48.5102582, 1.5573972;28201;87394155
Jouy-en-Josas;JAS;B;48.7650042, 2.1635294;78322;87393512
Juan les Pins;JAE;B;43.570896, 7.11144;6004;87757666
Juvisy-sur-Orge;JYS;B;48.68917, 2.38267;91326;87545244
Juziers;JUZ;B;48.99244, 1.84579;78327;87381558
Kalhausen;KHS;C;49.0350585, 7.125352;57355;87193664
Ker Lann;KEL;C;48.0429857, -1.7398306;35047;87159947
Kerhostin;KHT;C;47.5369524, -3.1363795;56234;87476432
Kerhuon;KHO;C;48.4096627, -4.3882136;29235;87474213
Kilstett;KIL;C;48.6793065, 7.8549031;67237;87212324
Koenigsmacker;KER;C;49.3965538, 6.2735503;57370;87191619
Kogenheim;KEN;C;48.3389532, 7.5353085;67246;87214114
Krimmeri Meinau;KRI;B;48.56358, 7.75259;67482;87338525
Kruth;KRD;C;47.92396, 6.9690938;68171;87182642
Kurtzenhouse;KUR;C;48.741862, 7.8130449;67252;87213660
L'Abbaye;ABJ;B;48.922211, 2.516874;93046;87113886
L'Aigle;LAE;B;48.766229, 0.620014;61214;87444638
L'Aiguille;AGF;C;45.7783702, 1.2049024;87021;87592634
L'Arbresle;LBL;B;45.833299, 4.618319;69010;87721431
L'Argentière Les Écrins;LEE;C;44.7909802, 6.5564162;5006;87763557
L'Ariane La Trinité;ATJ;C;43.7343716, 7.3025298;6149;87751529
L'Estaque;LES;C;43.363628, 5.3213598;13216;87751602
L'Etang les Sablons;LEB;B;48.872302065217156, 2.0688744062680113;78224;87726109
L'Herbergement - Les Brouzils;LHB;C;46.9069172, -1.3712431;85108;87486126
L'Hermitage - Mordelles;LHL;C;48.123142, -1.8192987;35131;87471060
L'Hôpital-du-Grosbois;LHO;C;47.1691016, 6.2130861;25305;87718528
L'Isle-Adam - Parmain;IAP;B;49.11482, 2.20976;95480;87276527
L'Isle-d'Abeau;ISA;B;45.607645, 5.21969;38193;87761239
L'Isle-Jourdain;LIJ;B;43.617185, 1.089829;32160;87611806
L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse;LFV;B;43.917393, 5.047615;84054;87765479
L'Isle-sur-le-Doubs;ISD;C;47.4473777, 6.5812614;25315;87184572
L'Isthme;LIH;C;47.54653639699773, -3.1335359717958777;56234;87476275
La Barasse;LBC;C;43.2858384, 5.4845101;13011;87635581
La Barre Ormesson;LBJ;B;48.96633, 2.31688;95197;87271171
La Basse Indre - Saint-Herblain;LBI;C;47.2040872, -1.6603088;44162;87481069
La Bassée - Violaines;BII;B;50.52799, 2.80482;59051;87342436
La Bastide - Saint-Laurent-les-Bains;LBS;C;44.5934829, 3.9042849;48021;87775171
La Baule Les Pins;BFP;C;47.2835196, -2.3648441;44055;87481697
La Baule-Escoublac;LBE;B;47.28869, -2.389102;44055;87481754
La Bernerie-en-Retz;BNX;C;47.0832616, -2.0341408;44012;87481267
La Bohalle;WBH;C;47.4342356, -0.4000426;49032;87487843
La Bonneville-sur-Iton;BVU;C;48.9884615, 1.035014;27082;87387142
La Borne Blanche;BBN;B;49.126985, 2.5058656;60482;87276287
La Brillanne - Oraison;LBO;C;43.9247771, 5.8923199;4034;87751271
La Brohinière;LBR;C;48.2134717, -2.110452;35184;87471094
La Celle-Saint-Cloud;LCB;B;48.84259, 2.13797;78126;87382432
La Chaize-le-Vicomte;CZC;C;46.676779, -1.2820678;85046;87486308
La Chapelle Aulnay;CVM;C;47.30859, -1.5415;44035;87590364
La Chapelle Centre;EIF;C;47.2972029, -1.548012;44035;87481564
La Chapelle-Saint-Mesmin;LCS;C;47.8929293, 1.8268193;45075;87543371
La Chapelle-sur-Loire;WSL;C;47.251227, 0.2184812;37058;87571802
La Charité-sur-Loire;LAT;B;47.179914, 3.023883;58059;87696195
La Chaumusse - Fort-du-Plasne;WFP;C;46.6048753, 5.9613342;39126;87715391
La Chaussée-Saint-Victor;WSV;C;47.6127952, 1.3537834;41047;87574251
La Ciotat - Ceyreste;LTV;B;43.199593, 5.632647;13028;87751784
La Clayette - Baudemont;CYB;C;46.2881469, 4.2984195;71022;87694737
La Coquille;LCQ;C;45.5408509, 0.9744005;24133;87592501
La Courneuve - Aubervilliers;ALC;B;48.9242, 2.38443;93027;87271304
La Couronne;LCO;C;45.604570970062376, 0.1011570895580505;16113;87583617
La Couronne Carro;CRQ;C;43.3398078, 5.0517077;13056;87753541
La Crau;LUV;C;43.1449352, 6.0687663;83047;87755611
La Crèche;CCK;C;46.3604181, -0.2962081;79048;87485474
La Croix de Méan;XDM;C;47.300426, -2.1932575;44184;87481689
La Défense;LDU;B;48.89308, 2.23763;92062;87382218
La Défense Grande Arche RER E;DGA;B;;92062;87731430
La Douzillère;DZD;C;47.3388167, 0.6528244;37122;87009696
La Faloise;FLO;C;49.696527, 2.3485813;80299;87313239
La Fère;FER;B;49.65802, 3.36981;2304;87296632
La Ferté-Alais;LFA;B;48.484876, 2.35161;91232;87681452
La Ferté-Bernard;LFB;B;48.1864887, 0.639711;72132;87396325
La Ferté-Imbault;FTV;C;47.3835442, 1.9580537;41084;87576082
La Ferté-Milon;LFM;C;49.1797269, 3.1207223;2307;87116673
La Ferté-Saint-Aubin;LFS;B;47.720975, 1.93236;45146;87543124
La Ferté-sous-Jouarre;LFJ;B;48.950741, 3.125577;77183;87116517
La Fontaine;FOK;C;50.5661459, 2.9261079;59653;87286427
La Forest-Landerneau;FOO;C;48.4263093, -4.3074515;29056;87474221
La Fouillouse;LFI;C;45.4977675, 4.3170839;42097;87726232
La Frayère;FYS;C;43.5581088, 6.9720902;6029;87757740
La Fresnais;FSN;C;48.593655, -1.8432199;35116;87478081
La Frette - Montigny;FMY;B;48.98035, 2.18019;95257;87381871
La Garde;LGD;B;43.1187044, 6.0100767;83062;87755306
La Garenne-Colombes;LGK;B;48.9093952, 2.2396414;92025;87386003
La Gorp;GOP;C;44.9288345, -0.4963844;33003;87584755
La Gouesnière - Cancale - Saint-Méloir-des-Ondes;LGO;C;48.6144207, -1.9058105;35299;87478099
La Grand-Combe;LGC;C;44.2098159, 4.0329591;30132;87775254
La Grande-Paroisse;GPA;C;48.3787751, 2.8971614;77210;87682476
La Grave d'Ambarès;GVA;C;44.9356421, -0.477021;33003;87491274
La Guerche-sur-l'Aubois;GUA;C;46.9477388, 2.9485731;18108;87576470
La Guierche;GUH;C;48.1138773, 0.1931016;72147;87396036
La Haie-Fouassière;LHE;C;47.1615899, -1.392195;44070;87481416
La Hisse;HIZ;C;48.4961248, -2.0036608;22327;87478156
La Hume;HUE;B;44.639879, -1.116;33199;87582635
La Hutte Coulombiers;LHU;C;48.303495, 0.1056788;72097;87396093
La Jarrie;JAJ;C;46.12045, -1.02347;17194;87485185
La Jonchère-Saint-Maurice;JOC;C;45.9944577, 1.4803853;87079;87592337
La Joux;JOO;C;45.9657075, 6.910179;74056;87746842
La Levade;LLE;C;44.228602, 4.0102736;30132;87775247
La Loupe;LLP;B;48.4737398, 1.0109416;28214;87394254
La Madeleine;LMA;C;50.6608037, 3.0725804;59368;87286187
La Marche;MKF;C;47.1396975, 3.0395468;58155;87691394
La Méaugon;MHT;C;48.4996127, -2.8439358;22144;87473124
La Membrolle-sur-Choisille;LRL;C;47.4313179, 0.6407872;37214;87571513
La Ménitré;MEQ;C;47.397422, -0.275818;49201;87487884
La Meyze;MYZ;C;45.6212964, 1.2123135;87096;87592808
La Mothe-Achard;LEH;C;46.6068648, -1.6596359;85152;87486423
La Mothe-Saint-Héray;LHY;C;46.3807592, -0.1298415;79246;87485508
La Norville - Saint-Germain-lès-Arpajon;NGE;B;48.591617, 2.267586;91457;87545459
La Pauline Hyères;LPH;B;43.1364769, 6.0351027;83062;87755314
La Penne-sur-Huveaune;PHE;C;43.2846765, 5.5155698;13070;87751743
La Plaine Stade de France - Saint-Denis - Aubervilliers;LPN;B;48.91839, 2.36257;93066;87164798
La Pomme;PPO;C;43.2905165, 5.4413152;13211;87751719
La Porcherie;PHR;C;45.5740586, 1.5383469;87120;87592295
La Possonnière;LPO;C;47.3713848, -0.6917009;49247;87484337
La Poterie;PTK;C;48.0923448, -1.6307729;35238;87334508
La Redonne Ensuès;RDS;C;43.33447, 5.1975675;13033;87753574
La Réole;REO;B;44.579742, -0.03057;33352;87582866
La Ricamarie;LRM;C;45.4041516, 4.360686;42183;87726703
La Rivière de Mansac;LDZ;C;45.139681, 1.3655086;19124;87594416
La Rivière-Drugeon;RIW;C;46.8701507, 6.2133331;25493;87715144
La Roche-Maurice;ROW;C;48.4740885, -4.2050964;29237;87474262
La Roche-sur-Foron;LRF;B;46.06756, 6.303885;74224;87746305
La Roche-sur-Yon;LRY;B;46.67212, -1.435621;85191;87486019
La Rochelle;LRE;A;46.15269, -1.145305;17300;87485003
La Rochelle Porte Dauphine;LRA;C;46.16755, -1.1518412;17300;87437798
La Seyne - Six-Fours;LSM;B;43.116959, 5.876966;83126;87755264
La Souterraine;LST;B;46.239792, 1.492151;23176;87592378
La Suze-sur-Sarthe;LSZ;C;47.8919891, 0.0266367;72346;87396366
La Taye;LTA;C;48.4077566, 1.3734019;28337;87394403
La Teste-de-Buch;TTE;B;44.636924, -1.14295;33529;87582643
La Tour-de-Salvagny;TSW;B;45.7998818, 4.7164921;69250;87721548
La Tour-du-Pin;LTP;B;45.560277, 5.450092;38509;87723478
La Tricherie;LTR;C;46.7288206, 0.4412021;86019;87575183
La Trinité Victor;TVR;C;43.7427854, 7.3114604;6149;87756767
La Valbonne;VAO;B;45.849225, 5.124911;1032;87723577
La Verpillière;VEI;B;45.6276, 5.150866;38537;87723395
La Verrière;VYL;B;48.7556954, 1.943674;78644;87393256
La Ville Gozet;GOZ;C;46.3497686, 2.5918028;3185;87641191
La Ville-Dieu-du-Temple;LIX;C;44.0355186, 1.2149646;82096;87611459
La Villette Saint-Prest;VTP;C;48.4827197, 1.5228734;28358;87394171
La Wantzenau;LWL;C;48.6651895, 7.8247832;67519;87212316
Labège Innopole;FRV;B;43.5473613, 1.5129784;31254;87612002
Labège Village;LEJ;C;43.5305367, 1.5329207;31254;87612028
Labenne;LBN;C;43.5870509, -1.4288712;40133;87673293
Labergement-Sainte-Marie;GYR;C;46.77632, 6.28011;25320;87715219
Laboissière - Le Déluge;DEJ;C;49.2885368, 2.1361486;60330;87313676
Labouheyre;LBH;C;44.2106292, -0.9209296;40134;87582551
Labruguière;LBG;C;43.5425692, 2.2594728;81120;87615526
Lacapelle-Viescamp;WCV;C;44.9202424, 2.2654689;15088;87645150
Lacelle;WCL;C;45.6412701, 1.8264798;19095;87592147
Lachaud Curmilhac;LDQ;C;45.1228045, 3.6104913;43013;87731828
Lacourtensourt;LNT;C;43.6638838, 1.4138687;31555;87611434
Lafarge;LAF;C;45.6338338, 1.130859;87150;87592733
Lagny - Thorigny;LGY;B;48.88218325, 2.70404228;77464;87116319
Laguépie;LPB;C;44.1455256, 1.9692195;82088;87613471
Laifour;LFU;C;49.911256, 4.6923484;8242;87172072
Laigné - Saint-Gervais;LSG;C;47.8740074, 0.2172097;72287;87396556
